Code NAC,Relecture
10,
10A,Exhaustive
10B,Exhaustive
10C,Exhaustive
10Z,Exhaustive
11,
11C,Exhaustive
11F,Exhaustive
11G,Exhaustive
12,
12A,Exhaustive
12B,Exhaustive
12C,Exhaustive
12D,Exhaustive
12Z,Exhaustive
14,
14A,Exhaustive
14B,Exhaustive
14C,Exhaustive
14D,Exhaustive
14E,Exhaustive
14G,Exhaustive
14H,Exhaustive
14I,Exhaustive
14J,Exhaustive
14K,Exhaustive
14L,Exhaustive
14N,Exhaustive
14O,Exhaustive
14P,Exhaustive
14X,Exhaustive
20,
20A,Exhaustive
20B,Exhaustive
20C,Exhaustive
20D,Exhaustive
20E,Exhaustive
20F,Exhaustive
20H,Exhaustive
20I,Exhaustive
20J,Exhaustive
20K,Exhaustive
20X,Exhaustive
21,
21A,Exhaustive
21B,Exhaustive
21C,Exhaustive
21D,Exhaustive
21E,Exhaustive
21G,Exhaustive
21H,Exhaustive
21I,Exhaustive
21J,Exhaustive
21X,Exhaustive
22,
22G,Exhaustive
23,
23A,Exhaustive
23B,Exhaustive
23H,Exhaustive
23I,Exhaustive
23J,Exhaustive
23K,Exhaustive
24,
24G,Exhaustive
24H,Exhaustive
25,
25D,Exhaustive
25F,Exhaustive
25G,Exhaustive
25H,Exhaustive
25I,Exhaustive
26,
26A,Exhaustive
26B,Exhaustive
26C,Exhaustive
26E,Exhaustive
26F,Exhaustive
26G,Exhaustive
26H,Exhaustive
26I,Exhaustive
26J,Exhaustive
26K,Exhaustive
26Y,Exhaustive
26Z,Exhaustive
28,
28A,Exhaustive
28B,Exhaustive
28C,Exhaustive
28D,Exhaustive
28E,Exhaustive
28F,Exhaustive
28G,Exhaustive
28H,Exhaustive
28I,Exhaustive
28Z,Exhaustive
29,
29A,Exhaustive
29B,Exhaustive
29C,Exhaustive
29D,Exhaustive
29E,Exhaustive
29F,Exhaustive
29Z,Exhaustive
2A,
2A1,Exhaustive
2A2,Exhaustive
2A3,Exhaustive
2A4,Exhaustive
2A5,Exhaustive
2AA,Exhaustive
2AB,Exhaustive
2AC,Exhaustive
2AD,Exhaustive
2AE,Exhaustive
2AF,Exhaustive
2AG,Exhaustive
2AH,Exhaustive
2AI,Exhaustive
2AJ,Exhaustive
2AK,Exhaustive
2AM,Exhaustive
2AN,Exhaustive
2AO,Exhaustive
2AP,Exhaustive
2AQ,Exhaustive
2AR,Exhaustive
2AS,Exhaustive
2AT,Exhaustive
2AU,Exhaustive
2AV,Exhaustive
2AZ,Exhaustive
30,
30A,Simple
30B,Simple
30C,Simple
30D,Simple
30E,Simple
30F,Simple
30G,Simple
30H,Simple
30Z,Simple
31,
31A,Simple
31B,Simple
31C,Simple
31D,Simple
31E,Simple
31F,Simple
31G,Simple
31H,Simple
31Z,Simple
32,
32A,Simple
32B,Simple
32C,Simple
32D,Simple
32E,Simple
32F,Simple
32Z,Simple
33,
33A,Simple
33B,Simple
33C,Simple
33D,Simple
33E,Simple
33F,Simple
33G,Simple
33H,Simple
33X,Simple
34,
34A,Simple
34B,Simple
34C,Simple
34D,Simple
34E,Simple
34F,Simple
34G,Simple
34H,Simple
35,
35A,Simple
35B,Simple
35C,Simple
35D,Simple
35E,Simple
35F,Simple
35G,Simple
35H,Simple
35X,Simple
35Z,Simple
36,
36A,Exhaustive
36B,Exhaustive
36C,Exhaustive
36D,Simple
36E,Simple
36F,Exhaustive
36X,Simple
36Z,Simple
38,
38A,Simple
38B,Simple
38C,Exhaustive
38D,Exhaustive
38E,Exhaustive
38F,Exhaustive
38G,Exhaustive
38Z,Simple
39,
39A,Simple
39G,Simple
39H,Simple
39I,Simple
39J,Simple
39K,Simple
39L,Simple
39M,Simple
39X,Simple
39Z,Simple
3A,
3AA,Simple
3AB,Simple
3AC,Simple
3AD,Simple
3AE,Simple
3AF,Simple
3AH,Simple
3AI,Simple
3B,
3BA,Simple
3BB,Simple
3BC,Simple
3BD,Simple
3BE,Simple
3BF,Simple
3BZ,Simple
3C,
3CA,Simple
3CB,Simple
3CC,Simple
3CD,Simple
3CE,Simple
3CF,Simple
3CZ,Simple
3D,
3DA,Simple
3DZ,Simple
3E,
3EA,Simple
3EB,Simple
3EC,Simple
3ED,Simple
3EE,Simple
3EF,Simple
3EZ,Simple
40,
40B,Simple
40C,Simple
40D,Simple
40E,Simple
40F,Simple
40G,Simple
40H,Simple
40I,Simple
41,
41A,Simple
41Z,Simple
42,
42X,Simple
43,
43A,Simple
43B,Simple
43C,Simple
43D,Simple
43E,Simple
43X,Simple
44,
44A,Simple
44B,Simple
44C,Simple
44X,Simple
45,
45A,Simple
45B,Simple
45C,Simple
45D,Simple
45E,Simple
45F,Simple
45G,Simple
45H,Simple
46,
46A,Simple
46B,Simple
46X,Simple
47,
47A,Simple
47B,Simple
47C,Simple
47D,Simple
47E,Simple
47F,Simple
47G,Simple
47X,Simple
48,
48A,Exhaustive
48B,Exhaustive
48C,Exhaustive
48D,Exhaustive
48F,Exhaustive
48G,Exhaustive
48H,Exhaustive
48J,Exhaustive
48K,Exhaustive
48L,Exhaustive
48M,Exhaustive
48N,Exhaustive
48O,Exhaustive
48P,Exhaustive
48Q,Exhaustive
48R,Exhaustive
48X,Exhaustive
4A,
4AG,Simple
4AH,Simple
4AI,Simple
4AJ,Simple
4AK,Simple
4B,
4BA,Simple
4BB,Simple
4C,
4CA,Simple
4CB,Simple
4CC,Simple
4CD,Simple
4D,
4DA,Simple
4DB,Simple
4DC,Simple
4DD,Simple
4DE,Simple
4DF,Simple
4E,
4EB,Simple
4F,
4FA,Simple
4FB,Simple
4FC,Simple
4FD,Simple
4FE,Simple
4FF,Simple
4FG,Simple
4FH,Simple
4FI,Simple
4FJ,Simple
4FK,Simple
4G,
4GA,Simple
4GB,Simple
4GC,Simple
4GD,Simple
4GE,Simple
4GF,Simple
4H,
4HA,Simple
4HB,Simple
4HC,Simple
4I,
4IA,Simple
4IB,Simple
4IC,Simple
4ID,Simple
4IE,Simple
4IF,Simple
4IG,Simple
4IH,Simple
4II,Simple
4J,
4JA,Simple
4JB,Simple
4JC,Simple
4JD,Simple
4JE,Simple
4JG,Simple
50,
50A,Simple
50B,Simple
50C,Simple
50D,Simple
50E,Simple
50F,Simple
50G,Simple
50Z,Simple
51,
51A,Exhaustive
51B,Exhaustive
51C,Exhaustive
51D,Exhaustive
51E,Exhaustive
51F,Exhaustive
51G,Exhaustive
51H,Exhaustive
51I,Exhaustive
51J,Exhaustive
51K,Exhaustive
51L,Exhaustive
51M,Exhaustive
51Z,Exhaustive
52,
52A,Exhaustive
52B,Exhaustive
52C,Exhaustive
52D,Exhaustive
52E,Exhaustive
52F,Exhaustive
52G,Exhaustive
52Z,Exhaustive
53,
53A,Exhaustive
53B,Exhaustive
53D,Exhaustive
53E,Exhaustive
53F,Exhaustive
53H,Exhaustive
53I,Exhaustive
53J,Exhaustive
53L,Exhaustive
54,
54A,Simple
54B,Simple
54C,Simple
54D,Simple
54E,Simple
54F,Simple
54G,Simple
54Z,Simple
55,
55A,Simple
55B,Simple
55Z,Simple
56,
56A,Simple
56B,Simple
56C,Simple
56D,Simple
56E,Simple
56F,Simple
56Z,Simple
57,
57A,Simple
57B,Simple
57X,Simple
58,
58A,Exhaustive
58B,Simple
58C,Simple
58D,Simple
58E,Simple
58F,Simple
58G,Exhaustive
58H,Simple
58Z,Simple
59,
59A,Simple
59B,Simple
59C,Simple
59D,Simple
59E,Simple
59G,Simple
59H,Simple
59X,Simple
60,
60A,Exhaustive
60B,Exhaustive
60C,Exhaustive
61,
61A,Exhaustive
61B,Exhaustive
62,
62A,Exhaustive
62B,Simple
62X,Exhaustive
63,
63A,Exhaustive
63B,Exhaustive
63C,Exhaustive
63D,Exhaustive
64,
64A,Simple
64B,Exhaustive
64C,Simple
64D,Exhaustive
64E,Exhaustive
64F,Exhaustive
64G,Simple
65,
65A,Exhaustive
65B,Exhaustive
65C,Exhaustive
66,
66A,Simple
66B,Simple
66C,Simple
70,
70A,Simple
70B,Simple
70C,Simple
70D,Simple
70E,Simple
70F,Simple
70H,Exhaustive
70I,Exhaustive
70K,Exhaustive
70L,Simple
70M,Simple
70N,Simple
70O,Simple
70Z,Exhaustive
71,
71A,Simple
71B,Simple
71C,Simple
71D,Simple
71E,Simple
71F,Simple
71G,Simple
71H,Simple
71I,Simple
71J,Simple
71K,Simple
71L,Simple
71M,Simple
71N,Simple
72,
72A,Simple
72B,Simple
72C,Simple
72D,Simple
72E,Simple
72F,Simple
72G,Simple
72H,Simple
72I,Simple
72J,Simple
72Z,Simple
73,
73A,Simple
73B,Simple
73X,Simple
73Z,Simple
74,
74A,Simple
74B,Simple
74C,Simple
74D,Simple
74E,Simple
74F,Simple
74Z,Simple
75,
75A,Simple
75B,Simple
75D,Simple
75E,Simple
76,
76A,Exhaustive
76B,Exhaustive
76D,Exhaustive
76E,Exhaustive
76F,Exhaustive
76H,Exhaustive
76X,Exhaustive
77,
77A,Simple
77B,Simple
78,
78A,Exhaustive
78B,Exhaustive
78C,Exhaustive
78E,Exhaustive
78F,Exhaustive
78G,Exhaustive
78H,Exhaustive
78I,Exhaustive
78K,Exhaustive
78M,Exhaustive
78N,Exhaustive
78O,Exhaustive
78P,Exhaustive
78Q,Exhaustive
78R,Exhaustive
78X,Exhaustive
79,
79A,Exhaustive
79B,Exhaustive
79C,Exhaustive
79D,Exhaustive
79E,Exhaustive
79F,Exhaustive
79Z,Exhaustive
80,
80A,Exhaustive
80B,Exhaustive
80C,Exhaustive
80D,Exhaustive
80E,Exhaustive
80F,Exhaustive
80G,Exhaustive
80H,Exhaustive
80I,Exhaustive
80J,Exhaustive
80K,Exhaustive
80L,Exhaustive
80M,Exhaustive
80N,Exhaustive
80O,Exhaustive
80P,Exhaustive
80Q,Exhaustive
80R,Exhaustive
80S,Exhaustive
80T,Exhaustive
80U,Exhaustive
80V,Exhaustive
80W,Exhaustive
80X,Exhaustive
80Y,Exhaustive
81,
81A,Simple
81B,Simple
81C,Simple
81D,Simple
81E,Simple
81F,Simple
81G,Simple
81H,Simple
81I,Simple
81J,Simple
81K,Simple
82,
82A,Simple
82B,Simple
82C,Simple
82D,Simple
82E,Simple
82F,Simple
82G,Simple
82H,Simple
82I,Simple
82J,Simple
82K,Simple
83,
83A,Exhaustive
83B,Exhaustive
83C,Exhaustive
83D,Exhaustive
83E,Exhaustive
83F,Exhaustive
83G,Exhaustive
83H,Exhaustive
83I,Exhaustive
84,
84A,Simple
84B,Simple
84C,Simple
84D,Simple
84E,Exhaustive
84F,Exhaustive
84G,Exhaustive
84H,Simple
84I,Simple
84J,Exhaustive
84K,Exhaustive
84L,Exhaustive
84M,Simple
84N,Simple
85,
85A,Simple
85B,Simple
85C,Simple
85D,Simple
86,
86A,Simple
86B,Simple
86C,Simple
86D,Simple
86E,Simple
86F,Simple
86G,Simple
87,
87A,Exhaustive
87B,Exhaustive
87C,Simple
87D,Simple
87E,Simple
87F,Exhaustive
87X,Exhaustive
88,
88A,Exhaustive
88B,Exhaustive
88C,Exhaustive
88D,Exhaustive
88E,Exhaustive
88F,Exhaustive
88G,Exhaustive
88H,Exhaustive
88I,Exhaustive
88J,Simple
88K,Exhaustive
88L,Exhaustive
88M,Exhaustive
88N,Exhaustive
88P,Exhaustive
88Q,Exhaustive
88R,Exhaustive
88S,Exhaustive
88T,Exhaustive
88U,Exhaustive
88V,Exhaustive
88W,Exhaustive
88Y,Exhaustive
89,
89A,Exhaustive
89B,Exhaustive
89C,Exhaustive
89D,Exhaustive
89E,Exhaustive
89F,Simple
89G,Exhaustive
89H,Exhaustive
89I,Exhaustive
89J,Exhaustive
89K,Exhaustive
89L,Simple
89M,Simple
89N,Simple
89O,Simple
89P,Simple
89Q,Simple
89R,Simple
89Z,Exhaustive
90,
90A,Simple
90B,Simple
90C,Simple
90D,Simple
90Z,Simple
91,
91A,Simple
91B,Simple
91C,Simple
91D,Simple
91Z,Simple
92,
92A,Simple
92B,Simple
92C,Simple
92D,Simple
92Z,Simple
93,
93A,Simple
93B,Simple
93C,Simple
94,
94A,Exhaustive
94B,Exhaustive
94C,Exhaustive
94D,Exhaustive
94Z,Exhaustive
95,
95A,Simple
95B,Simple
95C,Simple
96,
96A,Simple
96B,Simple
96C,Exhaustive
96D,Exhaustive
96E,Exhaustive
96Z,Exhaustive
97,
97C,Exhaustive
97D,Exhaustive
97E,Exhaustive
97F,Simple
97H,Simple
97I,Exhaustive
97J,Exhaustive
97K,Exhaustive
97L,Exhaustive
97M,Exhaustive
97N,Exhaustive
97O,Exhaustive
97Z,Exhaustive
